dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1025456400,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1010.2,,,88,1.23,54,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 00:00:00,2002,7
1025460000,28800,Denpasar,-8.652497,115.219117,26.4,26.4,26.4,1010.2,,,90,1.0,80,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 01:00:00,2002,7
1025463600,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.2,,,94,1.0,80,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 02:00:00,2002,7
1025467200,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1009.0,,,88,1.1,35,,,,,,,,,,,,,2,800,Clear,sky is clear,01n,2002-07-01 03:00:00,2002,7
1025470800,28800,Denpasar,-8.652497,115.219117,27.02,27.02,27.02,1009.0,,,88,1.03,18,,,,,,,,,,,,,2,800,Clear,sky is clear,01n,2002-07-01 04:00:00,2002,7
1025474400,28800,Denpasar,-8.652497,115.219117,24.0,24.0,24.0,1010.2,,,94,1.0,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 05:00:00,2002,7
1025478000,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.2,,,88,0.5,80,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 06:00:00,2002,7
1025481600,28800,Denpasar,-8.652497,115.219117,26.5,26.5,26.5,1010.2,,,81,1.41,20,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 07:00:00,2002,7
1025485200,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1010.8,,,70,1.5,80,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 08:00:00,2002,7
1025488800,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1010.8,,,70,2.6,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 09:00:00,2002,7
1025492400,28800,Denpasar,-8.652497,115.219117,31.8,31.8,31.8,1010.2,,,61,4.1,80,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 10:00:00,2002,7
1025496000,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1009.1,,,59,5.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 11:00:00,2002,7
1025499600,28800,Denpasar,-8.652497,115.219117,28.03,28.03,28.03,1009.0,,,81,1.09,176,,,,,,,,,,,,,3,800,Clear,sky is clear,01d,2002-07-01 12:00:00,2002,7
1025503200,28800,Denpasar,-8.652497,115.219117,28.2,28.2,28.2,1008.0,,,79,1.45,166,,,,,,,,,,,,,4,800,Clear,sky is clear,01d,2002-07-01 13:00:00,2002,7
1025506800,28800,Denpasar,-8.652497,115.219117,33.0,33.0,33.0,1007.1,,,59,3.6,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 14:00:00,2002,7
1025510400,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1007.1,,,62,4.1,70,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 15:00:00,2002,7
1025514000,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1007.1,,,62,3.6,80,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 16:00:00,2002,7
1025517600,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1007.1,,,66,2.6,100,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-01 17:00:00,2002,7
1025521200,28800,Denpasar,-8.652497,115.219117,28.52,28.52,28.52,1008.0,,,80,2.24,162,,,,,,,,,,,,,8,800,Clear,sky is clear,01n,2002-07-01 18:00:00,2002,7
1025524800,28800,Denpasar,-8.652497,115.219117,28.45,28.45,28.45,1009.0,,,81,2.23,170,,,,,,,,,,,,,11,801,Clouds,few clouds,02n,2002-07-01 19:00:00,2002,7
1025528400,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1009.1,,,78,2.1,40,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 20:00:00,2002,7
1025532000,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1010.2,,,83,1.5,30,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 21:00:00,2002,7
1025535600,28800,Denpasar,-8.652497,115.219117,27.6,27.6,27.6,1010.2,,,84,2.1,60,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 22:00:00,2002,7
1025539200,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.2,,,88,1.0,10,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-01 23:00:00,2002,7
1025542800,28800,Denpasar,-8.652497,115.219117,27.77,27.77,27.77,1010.0,,,84,1.56,356,,,,,,,,,,,,,2,800,Clear,sky is clear,01n,2002-07-02 00:00:00,2002,7
1025546400,28800,Denpasar,-8.652497,115.219117,26.5,26.5,26.5,1009.5,,,89,1.44,351,,,0.0,,,,,,,,,,9,800,Clear,sky is clear,01n,2002-07-02 01:00:00,2002,7
1025550000,28800,Denpasar,-8.652497,115.219117,26.5,26.5,26.5,1009.5,,,89,1.08,330,,,0.0,,,,,,,,,,29,802,Clouds,scattered clouds,03n,2002-07-02 02:00:00,2002,7
1025553600,28800,Denpasar,-8.652497,115.219117,25.4,25.4,25.4,1009.1,,,89,0.88,322,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 03:00:00,2002,7
1025557200,28800,Denpasar,-8.652497,115.219117,27.46,27.46,27.46,1010.0,,,85,0.93,315,,,,,,,,,,,,,42,802,Clouds,scattered clouds,03n,2002-07-02 04:00:00,2002,7
1025560800,28800,Denpasar,-8.652497,115.219117,24.0,24.0,24.0,1010.2,,,94,1.36,331,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 05:00:00,2002,7
1025564400,28800,Denpasar,-8.652497,115.219117,24.0,24.0,24.0,1010.2,,,94,1.65,334,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 06:00:00,2002,7
1025568000,28800,Denpasar,-8.652497,115.219117,26.8,26.8,26.8,1010.8,,,80,1.0,60,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 07:00:00,2002,7
1025571600,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1010.8,,,70,2.1,30,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 08:00:00,2002,7
1025575200,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1010.8,,,66,2.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 09:00:00,2002,7
1025578800,28800,Denpasar,-8.652497,115.219117,30.7,30.7,30.7,1010.8,,,70,2.6,100,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 10:00:00,2002,7
1025582400,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1010.2,,,62,2.6,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 11:00:00,2002,7
1025586000,28800,Denpasar,-8.652497,115.219117,33.0,33.0,33.0,1010.2,,,62,3.1,250,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 12:00:00,2002,7
1025589600,28800,Denpasar,-8.652497,115.219117,33.0,33.0,33.0,1009.1,,,58,3.6,260,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 13:00:00,2002,7
1025593200,28800,Denpasar,-8.652497,115.219117,33.0,33.0,33.0,1008.1,,,62,1.5,260,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 14:00:00,2002,7
1025596800,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1008.1,,,62,1.0,160,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 15:00:00,2002,7
1025600400,28800,Denpasar,-8.652497,115.219117,31.8,31.8,31.8,1009.1,,,61,2.6,180,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 16:00:00,2002,7
1025604000,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1010.2,,,70,1.0,160,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-02 17:00:00,2002,7
1025607600,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.8,,,83,1.31,152,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 18:00:00,2002,7
1025611200,28800,Denpasar,-8.652497,115.219117,29.4,29.4,29.4,1010.8,,,72,1.16,121,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 19:00:00,2002,7
1025614800,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1011.9,,,83,1.37,105,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 20:00:00,2002,7
1025618400,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1011.9,,,83,1.46,96,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 21:00:00,2002,7
1025622000,28800,Denpasar,-8.652497,115.219117,28.0,28.0,28.0,1011.9,,,80,1.35,92,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 22:00:00,2002,7
1025625600,28800,Denpasar,-8.652497,115.219117,27.0,27.0,27.0,1010.8,,,83,1.36,93,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-02 23:00:00,2002,7
1025629200,28800,Denpasar,-8.652497,115.219117,27.11,27.11,27.11,1012.0,,,84,1.31,104,,,,,,,,,,,,,23,801,Clouds,few clouds,02n,2002-07-03 00:00:00,2002,7
1025632800,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.8,,,94,1.3,115,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-03 01:00:00,2002,7
1025636400,28800,Denpasar,-8.652497,115.219117,25.0,25.0,25.0,1010.8,,,94,1.22,121,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2002-07-03 02:00:00,2002,7
1025640000,28800,Denpasar,-8.652497,115.219117,25.2,25.2,25.2,1010.1,,,94,1.1,121,,,0.0,,,,,,,,,,10,800,Clear,sky is clear,01n,2002-07-03 03:00:00,2002,7
1025643600,28800,Denpasar,-8.652497,115.219117,25.2,25.2,25.2,1010.1,,,94,1.05,93,,,0.0,,,,,,,,,,17,801,Clouds,few clouds,02n,2002-07-03 04:00:00,2002,7
1025647200,28800,Denpasar,-8.652497,115.219117,26.6,26.6,26.6,1011.0,,,85,1.32,59,,,,,,,,,,,,,21,801,Clouds,few clouds,02n,2002-07-03 05:00:00,2002,7
1025650800,28800,Denpasar,-8.652497,115.219117,26.67,26.67,26.67,1011.0,,,85,1.82,58,,,,,,,,,,,,,18,801,Clouds,few clouds,02d,2002-07-03 06:00:00,2002,7
1025654400,28800,Denpasar,-8.652497,115.219117,25.8,25.8,25.8,1010.8,,,80,1.0,40,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-03 07:00:00,2002,7
1025658000,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1011.9,,,66,2.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-03 08:00:00,2002,7
1025661600,28800,Denpasar,-8.652497,115.219117,27.37,27.37,27.37,1012.0,,,81,2.52,92,,,,,,,,,,,,,8,800,Clear,sky is clear,01d,2002-07-03 09:00:00,2002,7
1025665200,28800,Denpasar,-8.652497,115.219117,27.47,27.47,27.47,1011.0,,,81,2.62,110,,,,,,,,,,,,,9,800,Clear,sky is clear,01d,2002-07-03 10:00:00,2002,7
1025668800,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1010.2,,,62,4.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-03 11:00:00,2002,7
1025672400,28800,Denpasar,-8.652497,115.219117,32.0,32.0,32.0,1010.2,,,62,3.1,80,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-03 12:00:00,2002,7
1025676000,28800,Denpasar,-8.652497,115.219117,32.4,32.4,32.4,1009.1,,,57,3.1,100,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2002-07-03 13:00:00,2002,7
