index,dt,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,clouds_all,weather_id,datetime,year,month
247115,1640970000,26.32,25.2,27.0,1006.0,,,79,4.63,300,,,,,,,75,803,2022-01-01 00:00:00,2022,1
247116,1640973600,25.07,25.0,25.2,1006.0,,,89,5.14,260,,,,,,,75,500,2022-01-01 01:00:00,2022,1
247117,1640977200,25.08,25.0,25.2,1005.0,,,89,3.6,320,,,,,,,75,803,2022-01-01 02:00:00,2022,1
247118,1640980800,25.08,25.0,25.2,1005.0,,,94,2.57,320,,4.0,,,,,75,501,2022-01-01 03:00:00,2022,1
247119,1640984400,25.07,25.0,25.2,1005.0,,,94,2.57,320,,4.0,,,,,75,501,2022-01-01 04:00:00,2022,1
247120,1640988000,25.7,25.2,26.0,1006.0,,,89,3.6,260,,4.0,,,,,90,502,2022-01-01 05:00:00,2022,1
247121,1640991600,26.34,26.0,26.9,1006.0,,,89,4.63,280,,1.0,,,21.0,,40,500,2022-01-01 06:00:00,2022,1
247122,1640995200,26.97,26.9,27.0,1007.0,,,84,4.63,280,,1.0,,,21.0,,75,500,2022-01-01 07:00:00,2022,1
247123,1640998800,26.96,26.9,27.0,1007.0,,,84,4.12,290,,1.0,,,21.0,,40,500,2022-01-01 08:00:00,2022,1
247124,1641002400,28.11,28.0,28.3,1007.0,,,79,3.6,290,,,,,,,40,802,2022-01-01 09:00:00,2022,1
247125,1641006000,28.1,28.0,28.3,1007.0,,,79,4.63,290,,,,,,,40,802,2022-01-01 10:00:00,2022,1
247126,1641009600,28.74,28.3,29.0,1006.0,,,79,4.12,260,,,,,,,20,801,2022-01-01 11:00:00,2022,1
247127,1641013200,28.85,28.6,29.0,1005.0,,,74,4.63,270,,,,,,,40,802,2022-01-01 12:00:00,2022,1
247128,1641016800,28.87,28.6,29.0,1005.0,,,74,5.14,270,,,,,,,40,802,2022-01-01 13:00:00,2022,1
247129,1641020400,28.23,28.0,28.6,1005.0,,,84,4.63,270,,,,,,,40,802,2022-01-01 14:00:00,2022,1
247130,1641024000,28.04,28.0,28.1,1004.0,,,84,4.12,270,,,,,,,40,802,2022-01-01 15:00:00,2022,1
247131,1641027600,28.03,28.0,28.1,1004.0,,,84,3.6,270,,,,,,,40,802,2022-01-01 16:00:00,2022,1
247132,1641031200,28.04,28.0,28.1,1005.0,,,84,3.09,260,,,,,,,40,802,2022-01-01 17:00:00,2022,1
247133,1641034800,27.15,27.0,27.4,1005.0,,,89,2.06,260,,,,,,,40,802,2022-01-01 18:00:00,2022,1
247134,1641038400,27.13,27.0,27.4,1006.0,,,89,1.54,250,,,,,,,20,801,2022-01-01 19:00:00,2022,1
247135,1641042000,27.15,27.0,27.4,1006.0,,,89,0.51,0,,,,,,,40,802,2022-01-01 20:00:00,2022,1
247136,1641045600,27.0,27.0,27.0,1007.0,,,89,1.03,0,,,,,,,40,802,2022-01-01 21:00:00,2022,1
247137,1641049200,27.0,27.0,27.0,1007.0,,,89,0.51,0,,,,,,,40,802,2022-01-01 22:00:00,2022,1
247138,1641052800,27.0,27.0,27.0,1007.0,,,89,0.51,0,,,,,,,75,803,2022-01-01 23:00:00,2022,1
247139,1641056400,26.81,26.5,27.0,1006.0,,,89,1.03,0,,,,,,,40,802,2022-01-02 00:00:00,2022,1
247140,1641060000,26.83,26.5,27.0,1006.0,,,89,2.06,340,,,,,,,40,802,2022-01-02 01:00:00,2022,1
247141,1641063600,26.19,26.0,26.5,1005.0,,,94,0.51,0,,,,,,,20,801,2022-01-02 02:00:00,2022,1
247142,1641067200,25.77,25.4,26.0,1005.0,,,89,1.54,10,,,,,,,20,801,2022-01-02 03:00:00,2022,1
247143,1641070800,25.13,25.0,25.4,1005.0,,,94,0.51,0,,,,,,,20,801,2022-01-02 04:00:00,2022,1
247144,1641074400,25.15,25.0,25.4,1006.0,,,94,0.51,70,,,,,,,20,801,2022-01-02 05:00:00,2022,1
247145,1641078000,26.75,26.0,28.0,1007.0,,,89,1.03,0,,,,,,,20,801,2022-01-02 06:00:00,2022,1
247146,1641081600,28.0,28.0,28.0,1007.0,,,84,2.06,110,,,,,,,20,801,2022-01-02 07:00:00,2022,1
247147,1641085200,28.0,28.0,28.0,1008.0,,,79,1.54,0,,,,,,,20,801,2022-01-02 08:00:00,2022,1
247148,1641088800,29.3,29.0,29.8,1008.0,,,79,2.06,100,,,,,,,20,801,2022-01-02 09:00:00,2022,1
247149,1641092400,29.93,29.8,30.0,1008.0,,,79,3.09,110,,,,,,,40,802,2022-01-02 10:00:00,2022,1
247150,1641096000,29.92,29.8,30.0,1007.0,,,75,4.63,80,,,,,,,40,802,2022-01-02 11:00:00,2022,1
247151,1641099600,30.11,30.0,30.3,1006.0,,,79,4.63,90,,,,,,,20,211,2022-01-02 12:00:00,2022,1
247152,1641103200,30.1,30.0,30.3,1006.0,,,75,3.09,100,,,,,,,20,211,2022-01-02 13:00:00,2022,1
247153,1641106800,29.49,29.0,30.3,1005.0,,,74,4.63,360,,,,,,,40,211,2022-01-02 14:00:00,2022,1
247154,1641110400,29.96,29.9,30.0,1005.0,,,70,2.57,40,,,,,,,40,802,2022-01-02 15:00:00,2022,1
247155,1641114000,29.97,29.9,30.0,1005.0,,,75,4.12,90,,,,,,,40,802,2022-01-02 16:00:00,2022,1
247156,1641117600,29.34,29.0,29.9,1006.0,,,79,4.12,110,,,,,,,20,801,2022-01-02 17:00:00,2022,1
