dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
859827600,28800,Denpasar,-8.652497,115.219117,25.6,25.6,25.6,1010.8,,,88,2.42,116,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,1997-04-01 00:00:00,1997,4
859831200,28800,Denpasar,-8.652497,115.219117,25.79,25.79,25.79,1010.0,,,91,2.33,113,1.36,,,,,,,,,,,,100,501,Rain,moderate rain,10n,1997-04-01 01:00:00,1997,4
859834800,28800,Denpasar,-8.652497,115.219117,25.67,25.67,25.67,1009.0,,,90,2.68,125,0.49,,,,,,,,,,,,100,500,Rain,light rain,10n,1997-04-01 02:00:00,1997,4
859838400,28800,Denpasar,-8.652497,115.219117,25.54,25.54,25.54,1009.0,,,88,3.87,131,0.68,,,,,,,,,,,,100,500,Rain,light rain,10n,1997-04-01 03:00:00,1997,4
859842000,28800,Denpasar,-8.652497,115.219117,24.8,24.8,24.8,1008.1,,,94,4.46,120,0.55,,,,,,,,,,,,100,500,Rain,light rain,10n,1997-04-01 04:00:00,1997,4
859845600,28800,Denpasar,-8.652497,115.219117,24.8,24.8,24.8,1008.1,,,94,3.72,101,1.13,,,,,,,,,,,,97,501,Rain,moderate rain,10n,1997-04-01 05:00:00,1997,4
859849200,28800,Denpasar,-8.652497,115.219117,26.3,26.3,26.3,1010.0,,,87,3.6,94,0.53,,,,,,,,,,,,99,500,Rain,light rain,10d,1997-04-01 06:00:00,1997,4
859852800,28800,Denpasar,-8.652497,115.219117,26.4,26.4,26.4,1009.9,,,85,1.5,360,0.18,,,,,,,,,,,,99,500,Rain,light rain,10d,1997-04-01 07:00:00,1997,4
859856400,28800,Denpasar,-8.652497,115.219117,26.96,26.96,26.96,1011.0,,,85,4.72,114,,,,,,,,,,,,,100,804,Clouds,overcast clouds,04d,1997-04-01 08:00:00,1997,4
859860000,28800,Denpasar,-8.652497,115.219117,30.0,30.0,30.0,1010.8,,,74,1.5,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,1997-04-01 09:00:00,1997,4
859863600,28800,Denpasar,-8.652497,115.219117,27.47,27.47,27.47,1011.0,,,82,4.0,112,,,,,,,,,,,,,100,804,Clouds,overcast clouds,04d,1997-04-01 10:00:00,1997,4
