dt,timezone,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_6h,rain_12h,rain_24h,rain_today,snow_1h,snow_3h,snow_6h,snow_12h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon,datetime,year,month
1193850000,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1010.2,,,88,2.1,100,,,,,,,,,,,,,40,802,Clouds,scattered clouds,03n,2007-11-01 00:00:00,2007,11
1193853600,28800,Denpasar,-8.652497,115.219117,25.8,25.8,25.8,1009.1,,,89,2.1,100,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2007-11-01 01:00:00,2007,11
1193857200,28800,Denpasar,-8.652497,115.219117,26.0,26.0,26.0,1009.1,,,88,2.1,110,,,,,,,,,,,,,20,801,Clouds,few clouds,02n,2007-11-01 02:00:00,2007,11
1193860800,28800,Denpasar,-8.652497,115.219117,26.31,26.31,26.31,1009.0,,,82,6.03,102,,,,,,,,,,,,,100,804,Clouds,overcast clouds,04n,2007-11-01 03:00:00,2007,11
1193864400,28800,Denpasar,-8.652497,115.219117,25.8,25.8,25.8,1009.3,,,90,2.6,110,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02n,2007-11-01 04:00:00,2007,11
1193868000,28800,Denpasar,-8.652497,115.219117,26.38,26.38,26.38,1010.0,,,82,6.12,91,,,,,,,,,,,,,98,804,Clouds,overcast clouds,04d,2007-11-01 05:00:00,2007,11
1193871600,28800,Denpasar,-8.652497,115.219117,26.39,26.39,26.39,1011.0,,,82,6.13,89,,,,,,,,,,,,,92,804,Clouds,overcast clouds,04d,2007-11-01 06:00:00,2007,11
1193875200,28800,Denpasar,-8.652497,115.219117,27.9,27.9,27.9,1010.8,,,81,4.1,90,,,0.0,,,,,,,,,,20,801,Clouds,few clouds,02d,2007-11-01 07:00:00,2007,11
1193878800,28800,Denpasar,-8.652497,115.219117,29.0,29.0,29.0,1010.8,,,79,5.1,90,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2007-11-01 08:00:00,2007,11
1193882400,28800,Denpasar,-8.652497,115.219117,27.03,27.03,27.03,1011.0,,,81,5.98,99,,,,,,,,,,,,,89,804,Clouds,overcast clouds,04d,2007-11-01 09:00:00,2007,11
1193886000,28800,Denpasar,-8.652497,115.219117,27.19,27.19,27.19,1011.0,,,81,5.38,111,,,,,,,,,,,,,84,803,Clouds,broken clouds,04d,2007-11-01 10:00:00,2007,11
1193889600,28800,Denpasar,-8.652497,115.219117,31.0,31.0,31.0,1010.2,,,70,4.6,120,,,,,,,,,,,,,20,801,Clouds,few clouds,02d,2007-11-01 11:00:00,2007,11
1193893200,28800,Denpasar,-8.652497,115.219117,26.74,26.74,26.74,1010.0,,,83,4.34,138,0.22,,,,,,,,,,,,62,500,Rain,light rain,10d,2007-11-01 12:00:00,2007,11
1193896800,28800,Denpasar,-8.652497,115.219117,26.39,26.39,26.39,1009.0,,,85,4.58,136,0.69,,,,,,,,,,,,66,500,Rain,light rain,10d,2007-11-01 13:00:00,2007,11
